Feature,Mean,Std Dev,Min Val,Max Val,25 Percentile,50 Percentile,75 Percentile
1,-0.02515383823529412,0.6253545708203999,-1.951243,1.897414,-0.1654425,0.0564325,0.213871
2,-0.04212095588235294,0.3761492488567022,-2.0,2.0,-0.1606405,-0.049159,0.09949474999999999
3,-0.01914249632352941,0.30144240048857784,-2.0,2.0,-0.10624900000000001,-0.0293755,0.04188825
4,0.037009367647058825,0.3464684590873531,-1.132837,2.0,-0.07773225,0.003066,0.0644615
5,-0.19450980882352942,0.3872399034722991,-1.447581,2.0,-0.35852599999999996,-0.22301700000000002,-0.08351875
6,-0.061547841911764704,0.31956646890993884,-2.0,2.0,-0.20351375,-0.1062655,0.04435975
7,-0.17683731985294118,0.37907901840612906,-1.282915,0.94171,-0.39498200000000006,-0.096464,0.0696045
8,-0.5531386911764706,0.42922381511164176,-1.264297,1.55569,-0.8021604999999999,-0.641877,-0.42999224999999996
9,-0.12313438602941176,0.3672750687422431,-1.105607,0.643989,-0.439376,-0.043508,0.156628
10,-0.12820075735294117,0.30931119976749993,-0.966596,1.172441,-0.292065,-0.183556,-0.067523
11,0.07010004044117647,0.30440774945327514,-2.0,2.0,-0.00936225,0.07435,0.180524
12,-0.10265179411764706,0.35340807537430974,-2.0,0.682449,-0.28056349999999997,-0.087809,0.11698974999999999
13,-0.00937359926470588,0.2958726359583687,-2.0,1.652653,-0.056307249999999996,0.0130965,0.08933350000000001
14,-0.1772068639705882,0.33439391958038167,-2.0,1.18918,-0.39228575,-0.15061950000000002,0.0260805
15,0.10228233455882353,0.3607160445970144,-2.0,2.0,0.036779,0.1132315,0.20663375
16,0.05781880514705883,0.2790903871495827,-2.0,2.0,-0.02936875,0.0417055,0.1142175
17,0.04784749264705882,0.3021771095822413,-1.334842,2.0,-0.054753750000000004,0.029485499999999998,0.09178025000000001
18,-0.0811219044117647,0.3308500820613887,-1.08458,2.0,-0.28526775000000004,-0.097806,0.0979385
19,-0.014861577205882352,0.27751154761404273,-2.0,2.0,-0.07282250000000001,-0.005638499999999999,0.048465499999999995
20,0.025683790441176472,0.27731824008812944,-2.0,2.0,-0.029685749999999997,0.0375885,0.11651975
